"","Type","Alcohol","Malic acid","Magnesium","Total phenols","Flavanoids","Nonflavanoid Phenols","Color Intensity","Hue","Od280/od315 of diluted wines","Proline"
"1","1",14.23,1.71,127,2.8,3.06,0.28,5.64,1.04,3.92,1065
"2","1",13.2,1.78,100,2.65,2.76,0.26,4.38,1.05,3.4,1050
"3","1",13.16,2.36,101,2.8,3.24,0.3,5.68,1.03,3.17,1185
"4","1",14.37,1.95,113,3.85,3.49,0.24,7.8,0.86,3.45,1480
"5","1",13.24,2.59,118,2.8,2.69,0.39,4.32,1.04,2.93,735
"6","1",14.2,1.76,112,3.27,3.39,0.34,6.75,1.05,2.85,1450
"7","1",14.39,1.87,96,2.5,2.52,0.3,5.25,1.02,3.58,1290
"8","1",14.06,2.15,121,2.6,2.51,0.31,5.05,1.06,3.58,1295
"9","1",14.83,1.64,97,2.8,2.98,0.29,5.2,1.08,2.85,1045
"10","1",13.86,1.35,98,2.98,3.15,0.22,7.22,1.01,3.55,1045
"11","1",14.1,2.16,105,2.95,3.32,0.22,5.75,1.25,3.17,1510
"12","1",14.12,1.48,95,2.2,2.43,0.26,5,1.17,2.82,1280
"13","1",13.75,1.73,89,2.6,2.76,0.29,5.6,1.15,2.9,1320
"14","1",14.75,1.73,91,3.1,3.69,0.43,5.4,1.25,2.73,1150
"15","1",14.38,1.87,102,3.3,3.64,0.29,7.5,1.2,3,1547
"16","1",13.63,1.81,112,2.85,2.91,0.3,7.3,1.28,2.88,1310
"17","1",14.3,1.92,120,2.8,3.14,0.33,6.2,1.07,2.65,1280
"18","1",13.83,1.57,115,2.95,3.4,0.4,6.6,1.13,2.57,1130
"19","1",14.19,1.59,108,3.3,3.93,0.32,8.7,1.23,2.82,1680
"20","1",13.64,3.1,116,2.7,3.03,0.17,5.1,0.96,3.36,845
"21","1",14.06,1.63,126,3,3.17,0.24,5.65,1.09,3.71,780
"22","1",12.93,3.8,102,2.41,2.41,0.25,4.5,1.03,3.52,770
"23","1",13.71,1.86,101,2.61,2.88,0.27,3.8,1.11,4,1035
"24","1",12.85,1.6,95,2.48,2.37,0.26,3.93,1.09,3.63,1015
"25","1",13.5,1.81,96,2.53,2.61,0.28,3.52,1.12,3.82,845
"26","1",13.05,2.05,124,2.63,2.68,0.47,3.58,1.13,3.2,830
"27","1",13.39,1.77,93,2.85,2.94,0.34,4.8,0.92,3.22,1195
"28","1",13.3,1.72,94,2.4,2.19,0.27,3.95,1.02,2.77,1285
"29","1",13.87,1.9,107,2.95,2.97,0.37,4.5,1.25,3.4,915
"30","1",14.02,1.68,96,2.65,2.33,0.26,4.7,1.04,3.59,1035
"31","1",13.73,1.5,101,3,3.25,0.29,5.7,1.19,2.71,1285
"32","1",13.58,1.66,106,2.86,3.19,0.22,6.9,1.09,2.88,1515
"33","1",13.68,1.83,104,2.42,2.69,0.42,3.84,1.23,2.87,990
"34","1",13.76,1.53,132,2.95,2.74,0.5,5.4,1.25,3,1235
"35","1",13.51,1.8,110,2.35,2.53,0.29,4.2,1.1,2.87,1095
"36","1",13.48,1.81,100,2.7,2.98,0.26,5.1,1.04,3.47,920
"37","1",13.28,1.64,110,2.6,2.68,0.34,4.6,1.09,2.78,880
"38","1",13.05,1.65,98,2.45,2.43,0.29,4.25,1.12,2.51,1105
"39","1",13.07,1.5,98,2.4,2.64,0.28,3.7,1.18,2.69,1020
"40","1",14.22,3.99,128,3,3.04,0.2,5.1,0.89,3.53,760
"41","1",13.56,1.71,117,3.15,3.29,0.34,6.13,0.95,3.38,795
"42","1",13.41,3.84,90,2.45,2.68,0.27,4.28,0.91,3,1035
"43","1",13.88,1.89,101,3.25,3.56,0.17,5.43,0.88,3.56,1095
"44","1",13.24,3.98,103,2.64,2.63,0.32,4.36,0.82,3,680
"45","1",13.05,1.77,107,3,3,0.28,5.04,0.88,3.35,885
"46","1",14.21,4.04,111,2.85,2.65,0.3,5.24,0.87,3.33,1080
"47","1",14.38,3.59,102,3.25,3.17,0.27,4.9,1.04,3.44,1065
"48","1",13.9,1.68,101,3.1,3.39,0.21,6.1,0.91,3.33,985
"49","1",14.1,2.02,103,2.75,2.92,0.32,6.2,1.07,2.75,1060
"50","1",13.94,1.73,108,2.88,3.54,0.32,8.9,1.12,3.1,1260
"51","1",13.05,1.73,92,2.72,3.27,0.17,7.2,1.12,2.91,1150
"52","1",13.83,1.65,94,2.45,2.99,0.22,5.6,1.24,3.37,1265
"53","1",13.82,1.75,111,3.88,3.74,0.32,7.05,1.01,3.26,1190
"54","1",13.77,1.9,115,3,2.79,0.39,6.3,1.13,2.93,1375
"55","1",13.74,1.67,118,2.6,2.9,0.21,5.85,0.92,3.2,1060
"56","1",13.56,1.73,116,2.96,2.78,0.2,6.25,0.98,3.03,1120
"57","1",14.22,1.7,118,3.2,3,0.26,6.38,0.94,3.31,970
"58","1",13.29,1.97,102,3,3.23,0.31,6,1.07,2.84,1270
"59","1",13.72,1.43,108,3.4,3.67,0.19,6.8,0.89,2.87,1285
"60","2",12.37,0.94,88,1.98,0.57,0.28,1.95,1.05,1.82,520
"61","2",12.33,1.1,101,2.05,1.09,0.63,3.27,1.25,1.67,680
"62","2",12.64,1.36,100,2.02,1.41,0.53,5.75,0.98,1.59,450
"63","2",13.67,1.25,94,2.1,1.79,0.32,3.8,1.23,2.46,630
"64","2",12.37,1.13,87,3.5,3.1,0.19,4.45,1.22,2.87,420
"65","2",12.17,1.45,104,1.89,1.75,0.45,2.95,1.45,2.23,355
"66","2",12.37,1.21,98,2.42,2.65,0.37,4.6,1.19,2.3,678
"67","2",13.11,1.01,78,2.98,3.18,0.26,5.3,1.12,3.18,502
"68","2",12.37,1.17,78,2.11,2,0.27,4.68,1.12,3.48,510
"69","2",13.34,0.94,110,2.53,1.3,0.55,3.17,1.02,1.93,750
"70","2",12.21,1.19,151,1.85,1.28,0.14,2.85,1.28,3.07,718
"71","2",12.29,1.61,103,1.1,1.02,0.37,3.05,0.906,1.82,870
"72","2",13.86,1.51,86,2.95,2.86,0.21,3.38,1.36,3.16,410
"73","2",13.49,1.66,87,1.88,1.84,0.27,3.74,0.98,2.78,472
"74","2",12.99,1.67,139,3.3,2.89,0.21,3.35,1.31,3.5,985
"75","2",11.96,1.09,101,3.38,2.14,0.13,3.21,0.99,3.13,886
"76","2",11.66,1.88,97,1.61,1.57,0.34,3.8,1.23,2.14,428
"77","2",13.03,0.9,86,1.95,2.03,0.24,4.6,1.19,2.48,392
"78","2",11.84,2.89,112,1.72,1.32,0.43,2.65,0.96,2.52,500
"79","2",12.33,0.99,136,1.9,1.85,0.35,3.4,1.06,2.31,750
"80","2",12.7,3.87,101,2.83,2.55,0.43,2.57,1.19,3.13,463
"81","2",12,0.92,86,2.42,2.26,0.3,2.5,1.38,3.12,278
"82","2",12.72,1.81,86,2.2,2.53,0.26,3.9,1.16,3.14,714
"83","2",12.08,1.13,78,2,1.58,0.4,2.2,1.31,2.72,630
"84","2",13.05,3.86,85,1.65,1.59,0.61,4.8,0.84,2.01,515
"85","2",11.84,0.89,94,2.2,2.21,0.22,3.05,0.79,3.08,520
"86","2",12.67,0.98,99,2.2,1.94,0.3,2.62,1.23,3.16,450
"87","2",12.16,1.61,90,1.78,1.69,0.43,2.45,1.33,2.26,495
"88","2",11.65,1.67,88,1.92,1.61,0.4,2.6,1.36,3.21,562
"89","2",11.64,2.06,84,1.95,1.69,0.48,2.8,1,2.75,680
"90","2",12.08,1.33,70,2.2,1.59,0.42,1.74,1.07,3.21,625
"91","2",12.08,1.83,81,1.6,1.5,0.52,2.4,1.08,2.27,480
"92","2",12,1.51,86,1.45,1.25,0.5,3.6,1.05,2.65,450
"93","2",12.69,1.53,80,1.38,1.46,0.58,3.05,0.96,2.06,495
"94","2",12.29,2.83,88,2.45,2.25,0.25,2.15,1.15,3.3,290
"95","2",11.62,1.99,98,3.02,2.26,0.17,3.25,1.16,2.96,345
"96","2",12.47,1.52,162,2.5,2.27,0.32,2.6,1.16,2.63,937
"97","2",11.81,2.12,134,1.6,0.99,0.14,2.5,0.95,2.26,625
"98","2",12.29,1.41,85,2.55,2.5,0.29,2.9,1.23,2.74,428
"99","2",12.37,1.07,88,3.52,3.75,0.24,4.5,1.04,2.77,660
"100","2",12.29,3.17,88,2.85,2.99,0.45,2.3,1.42,2.83,406
"101","2",12.08,2.08,97,2.23,2.17,0.26,3.3,1.27,2.96,710
"102","2",12.6,1.34,88,1.45,1.36,0.29,2.45,1.04,2.77,562
"103","2",12.34,2.45,98,2.56,2.11,0.34,2.8,0.8,3.38,438
"104","2",11.82,1.72,86,2.5,1.64,0.37,2.06,0.94,2.44,415
"105","2",12.51,1.73,85,2.2,1.92,0.32,2.94,1.04,3.57,672
"106","2",12.42,2.55,90,1.68,1.84,0.66,2.7,0.86,3.3,315
"107","2",12.25,1.73,80,1.65,2.03,0.37,3.4,1,3.17,510
"108","2",12.72,1.75,84,1.38,1.76,0.48,3.3,0.88,2.42,488
"109","2",12.22,1.29,92,2.36,2.04,0.39,2.7,0.86,3.02,312
"110","2",11.61,1.35,94,2.74,2.92,0.29,2.65,0.96,3.26,680
"111","2",11.46,3.74,107,3.18,2.58,0.24,2.9,0.75,2.81,562
"112","2",12.52,2.43,88,2.55,2.27,0.26,2,0.9,2.78,325
"113","2",11.76,2.68,103,1.75,2.03,0.6,3.8,1.23,2.5,607
"114","2",11.41,0.74,88,2.48,2.01,0.42,3.08,1.1,2.31,434
"115","2",12.08,1.39,84,2.56,2.29,0.43,2.9,0.93,3.19,385
"116","2",11.03,1.51,85,2.46,2.17,0.52,1.9,1.71,2.87,407
"117","2",11.82,1.47,86,1.98,1.6,0.3,1.95,0.95,3.33,495
"118","2",12.42,1.61,108,2,2.09,0.34,2.06,1.06,2.96,345
"119","2",12.77,3.43,80,1.63,1.25,0.43,3.4,0.7,2.12,372
"120","2",12,3.43,87,2,1.64,0.37,1.28,0.93,3.05,564
"121","2",11.45,2.4,96,2.9,2.79,0.32,3.25,0.8,3.39,625
"122","2",11.56,2.05,119,3.18,5.08,0.47,6,0.93,3.69,465
"123","2",12.42,4.43,102,2.2,2.13,0.43,2.08,0.92,3.12,365
"124","2",13.05,5.8,86,2.62,2.65,0.3,2.6,0.73,3.1,380
"125","2",11.87,4.31,82,2.86,3.03,0.21,2.8,0.75,3.64,380
"126","2",12.07,2.16,85,2.6,2.65,0.37,2.76,0.86,3.28,378
"127","2",12.43,1.53,86,2.74,3.15,0.39,3.94,0.69,2.84,352
"128","2",11.79,2.13,92,2.13,2.24,0.58,3,0.97,2.44,466
"129","2",12.37,1.63,88,2.22,2.45,0.4,2.12,0.89,2.78,342
"130","2",12.04,4.3,80,2.1,1.75,0.42,2.6,0.79,2.57,580
"131","3",12.86,1.35,122,1.51,1.25,0.21,4.1,0.76,1.29,630
"132","3",12.88,2.99,104,1.3,1.22,0.24,5.4,0.74,1.42,530
"133","3",12.81,2.31,98,1.15,1.09,0.27,5.7,0.66,1.36,560
"134","3",12.7,3.55,106,1.7,1.2,0.17,5,0.78,1.29,600
"135","3",12.51,1.24,85,2,0.58,0.6,5.45,0.75,1.51,650
"136","3",12.6,2.46,94,1.62,0.66,0.63,7.1,0.73,1.58,695
"137","3",12.25,4.72,89,1.38,0.47,0.53,3.85,0.75,1.27,720
"138","3",12.53,5.51,96,1.79,0.6,0.63,5,0.82,1.69,515
"139","3",13.49,3.59,88,1.62,0.48,0.58,5.7,0.81,1.82,580
"140","3",12.84,2.96,101,2.32,0.6,0.53,4.92,0.89,2.15,590
"141","3",12.93,2.81,96,1.54,0.5,0.53,4.6,0.77,2.31,600
"142","3",13.36,2.56,89,1.4,0.5,0.37,5.6,0.7,2.47,780
"143","3",13.52,3.17,97,1.55,0.52,0.5,4.35,0.89,2.06,520
"144","3",13.62,4.95,92,2,0.8,0.47,4.4,0.91,2.05,550
"145","3",12.25,3.88,112,1.38,0.78,0.29,8.21,0.65,2,855
"146","3",13.16,3.57,102,1.5,0.55,0.43,4,0.6,1.68,830
"147","3",13.88,5.04,80,0.98,0.34,0.4,4.9,0.58,1.33,415
"148","3",12.87,4.61,86,1.7,0.65,0.47,7.65,0.54,1.86,625
"149","3",13.32,3.24,92,1.93,0.76,0.45,8.42,0.55,1.62,650
"150","3",13.08,3.9,113,1.41,1.39,0.34,9.4,0.57,1.33,550
"151","3",13.5,3.12,123,1.4,1.57,0.22,8.6,0.59,1.3,500
"152","3",12.79,2.67,112,1.48,1.36,0.24,10.8,0.48,1.47,480
"153","3",13.11,1.9,116,2.2,1.28,0.26,7.1,0.61,1.33,425
"154","3",13.23,3.3,98,1.8,0.83,0.61,10.52,0.56,1.51,675
"155","3",12.58,1.29,103,1.48,0.58,0.53,7.6,0.58,1.55,640
"156","3",13.17,5.19,93,1.74,0.63,0.61,7.9,0.6,1.48,725
"157","3",13.84,4.12,89,1.8,0.83,0.48,9.01,0.57,1.64,480
"158","3",12.45,3.03,97,1.9,0.58,0.63,7.5,0.67,1.73,880
"159","3",14.34,1.68,98,2.8,1.31,0.53,13,0.57,1.96,660
"160","3",13.48,1.67,89,2.6,1.1,0.52,11.75,0.57,1.78,620
"161","3",12.36,3.83,88,2.3,0.92,0.5,7.65,0.56,1.58,520
"162","3",13.69,3.26,107,1.83,0.56,0.5,5.88,0.96,1.82,680
"163","3",12.85,3.27,106,1.65,0.6,0.6,5.58,0.87,2.11,570
"164","3",12.96,3.45,106,1.39,0.7,0.4,5.28,0.68,1.75,675
"165","3",13.78,2.76,90,1.35,0.68,0.41,9.58,0.7,1.68,615
"166","3",13.73,4.36,88,1.28,0.47,0.52,6.62,0.78,1.75,520
"167","3",13.45,3.7,111,1.7,0.92,0.43,10.68,0.85,1.56,695
"168","3",12.82,3.37,88,1.48,0.66,0.4,10.26,0.72,1.75,685
"169","3",13.58,2.58,105,1.55,0.84,0.39,8.66,0.74,1.8,750
"170","3",13.4,4.6,112,1.98,0.96,0.27,8.5,0.67,1.92,630
"171","3",12.2,3.03,96,1.25,0.49,0.4,5.5,0.66,1.83,510
"172","3",12.77,2.39,86,1.39,0.51,0.48,9.899999,0.57,1.63,470
"173","3",14.16,2.51,91,1.68,0.7,0.44,9.7,0.62,1.71,660
"174","3",13.71,5.65,95,1.68,0.61,0.52,7.7,0.64,1.74,740
"175","3",13.4,3.91,102,1.8,0.75,0.43,7.3,0.7,1.56,750
"176","3",13.27,4.28,120,1.59,0.69,0.43,10.2,0.59,1.56,835
"177","3",13.17,2.59,120,1.65,0.68,0.53,9.3,0.6,1.62,840
"178","3",14.13,4.1,96,2.05,0.76,0.56,9.2,0.61,1.6,560
